target,size,n,model,calibration,roc_auc_mean,roc_auc_std,roc_auc_count,average_precision_mean,average_precision_std,average_precision_count,brier_mean,brier_std,brier_count,ece_mean,ece_std,ece_count,log_loss_mean,log_loss_std,log_loss_count
survival_status,100,100,logistic,raw,0.6907857142857143,0.03750502611820158,10,0.3748520155472578,0.03146179334339109,10,0.1494517187259194,0.01636647922736114,10,0.08446835351933749,0.051373557002736985,10,0.5525117155822821,0.198742195517427,10
survival_status,100,100,logistic,calibrated,0.6975714285714286,0.037089075073340846,5,0.3846503557095341,0.026728715104114318,5,0.14187537714460374,0.006032279016145047,5,0.04167567910150825,0.024256730932984687,5,0.45138396844505085,0.019210245629136976,5
survival_status,100,100,rf,raw,0.7491785714285715,0.058654195296247526,10,0.45414192060823605,0.09185058923133343,10,0.13078761674421124,0.007831687249025021,10,0.0561114634771957,0.024784979963888436,10,0.4192688944863157,0.02400343328678037,10
survival_status,100,100,rf,calibrated,0.7425357142857143,0.05971077185491916,5,0.4687019546807118,0.09117194710738676,5,0.13619831988384215,0.007288589139383932,5,0.061596227425937476,0.02144884793086674,5,0.4356455562768404,0.022059611446150044,5
survival_status,100,100,rf_smote,raw,0.6855357142857142,0.07291358108145865,10,0.3716784427777145,0.11646124265652917,10,0.15466268780885728,0.016237855427773736,10,0.1283125265916968,0.024518467972601918,10,0.4800617940181976,0.037950589262257035,10
survival_status,100,100,rf_smote,calibrated,0.6755714285714285,0.09835820623971278,5,0.3643061184561246,0.1389368991351078,5,0.14328399866596167,0.007423512564129897,5,0.039918810386680645,0.030022428338523165,5,0.4544134574660753,0.02166533775597736,5
survival_status,100,100,tabpfn,raw,0.7305357142857143,0.05150354158617021,10,0.4100903518838547,0.1242677637966663,10,0.1358836354922916,0.009663788607753422,10,0.06704199319521822,0.020215000999899157,10,0.429105233178898,0.023600135321612814,10
survival_status,100,100,tabpfn,calibrated,0.7162142857142857,0.05809892162405039,5,0.4010778597647214,0.13926701175811812,5,0.13890932482649404,0.007194333466192564,5,0.06988874422270436,0.03640789592825566,5,0.44074061422461847,0.017800260910436967,5
survival_status,100,100,xgboost,raw,0.6647321428571429,0.0740679639215124,10,0.3430378770737906,0.10721779563111719,10,0.1497870179695241,0.0160829128559494,10,0.10148461548642111,0.03351749108492357,10,0.49566811924433934,0.05345031548019921,10
survival_status,100,100,xgboost,calibrated,0.6469285714285714,0.09061320296193273,5,0.3221259844810037,0.06775731685438127,5,0.14584921689500585,0.00627171564302551,5,0.03660710298263713,0.031265196827869685,5,0.46274999955110624,0.021203748897603014,5
