target,size,n,seed,model,calibration,roc_auc,average_precision,brier,ece,log_loss,elapsed_seconds,selected
recurrence,Full,533,45,rf,calibrated,0.7718271827182719,0.7035068361529206,0.13797039864809726,0.09699810186087147,0.45444311196516024,2.5463082077912986,0
recurrence,Full,533,45,rf_smote,raw,0.7947794779477948,0.6641228013571732,0.1458839137645108,0.12616915422885575,0.4680174573811531,3.5628812918439507,0
recurrence,Full,533,45,rf_smote,calibrated,0.7947794779477948,0.6641228013571732,0.14028374939965638,0.08681466347220622,0.45047549130449505,3.5628812918439507,0
recurrence,Full,533,45,tabpfn,raw,0.7911791179117912,0.7174452881377402,0.1221267174429248,0.06283187349118403,0.4029332255534273,15.429474332835525,0
recurrence,Full,533,45,tabpfn,calibrated,0.7911791179117912,0.7174452881377402,0.1227273173773497,0.0735327067048475,0.40486893375276833,15.429474332835525,0
recurrence,Full,533,45,xgboost,raw,0.7575757575757576,0.6827965856087909,0.13115930734262832,0.08797657164508726,0.432600340792789,0.4113967497833073,0
recurrence,Full,533,45,xgboost,calibrated,0.7575757575757576,0.6827965856087909,0.13294096249983275,0.06727536732980939,0.43673732375970975,0.4113967497833073,0
recurrence,Full,533,46,lightgbm,raw,0.7167716771677168,0.6234768401879415,0.1432321211272661,0.09386089602918453,0.4754853711800352,0.4475215417332947,3
recurrence,Full,533,46,lightgbm,calibrated,0.7167716771677168,0.6234768401879415,0.1476116385351856,0.06658557933667039,0.47348155488410004,0.4475215417332947,3
recurrence,Full,533,46,logistic,raw,0.7746774677467747,0.6445657589610048,0.1487129844288892,0.09456978437416519,0.5025582953852448,0.050558125134557486,3
recurrence,Full,533,46,logistic,calibrated,0.7746774677467747,0.6445657589610048,0.14366899526270538,0.0532373601387989,0.4568513021654237,0.050558125134557486,3
recurrence,Full,533,46,rf,raw,0.7776777677767776,0.7198806246227042,0.14574554238851142,0.11990980313797454,0.4655214222419802,2.4617902911268175,3
recurrence,Full,533,46,rf,calibrated,0.7776777677767776,0.7198806246227042,0.13894949723241568,0.12448535638486416,0.45340881068058114,2.4617902911268175,3
recurrence,Full,533,46,rf_smote,raw,0.7470747074707471,0.6665501717917103,0.1406868858854139,0.12205250702521737,0.4518375134346493,3.9795792079530656,2
recurrence,Full,533,46,rf_smote,calibrated,0.7470747074707471,0.6665501717917103,0.13490366355616817,0.08542215441501119,0.4402270319456168,3.9795792079530656,2
recurrence,Full,533,46,tabpfn,raw,0.7908790879087909,0.7155564278850617,0.12290084583623798,0.07378568305675662,0.40448591352315083,13.659007541835308,0
recurrence,Full,533,46,tabpfn,calibrated,0.7908790879087909,0.7155564278850617,0.12391526473516219,0.08130333664913035,0.408156664250525,13.659007541835308,0
recurrence,Full,533,46,xgboost,raw,0.7500750075007501,0.6690935469210616,0.13535118161426582,0.0918918892240791,0.4446923604507668,0.4160957080312073,2
recurrence,Full,533,46,xgboost,calibrated,0.7500750075007501,0.6690935469210616,0.1405376487435831,0.07579965378247078,0.45495735206486365,0.4160957080312073,2
recurrence,Full,533,47,lightgbm,raw,0.7596759675967597,0.6772851559866725,0.13195923792927852,0.09068102225275333,0.43607403129519123,0.42045729188248515,0
recurrence,Full,533,47,logistic,raw,0.7950795079507951,0.6755657025793171,0.13214256431971347,0.061858787908393595,0.4273627003515153,0.04773745918646455,2
recurrence,Full,533,47,rf,raw,0.7856285628562856,0.7140370141277272,0.13702263681592042,0.12296019900497515,0.4514311432483224,2.5610652919858694,0
recurrence,Full,533,47,rf_smote,raw,0.7752775277527753,0.6670357569238341,0.14977014225317506,0.15104541007182487,0.4760549643895183,3.5737117077223957,1
recurrence,Full,533,47,tabpfn,raw,0.7824782478247825,0.7038363712722631,0.12500893736230467,0.057392252859339785,0.4102020204098252,3.387825000099838,0
recurrence,Full,533,47,xgboost,raw,0.7575757575757576,0.6827965856087909,0.13115930734262832,0.08797657164508726,0.432600340792789,0.4123861249536276,0
recurrence,Full,533,48,lightgbm,raw,0.7380738073807381,0.661550740252425,0.1325457348584366,0.06987306509830005,0.4413265135179828,0.4196499581448734,0
recurrence,Full,533,48,logistic,raw,0.7950795079507951,0.6755657025793171,0.13214256431971932,0.06185878790839935,0.4273627003515301,0.04654200002551079,2
recurrence,Full,533,48,rf,raw,0.7674767476747674,0.7069164439302514,0.1427856599149812,0.1247476837369776,0.4618025898320006,2.5019607497379184,1
recurrence,Full,533,48,rf_smote,raw,0.7920792079207921,0.6798524473651051,0.15242910247673366,0.13209565284662428,0.48351825477471694,3.446835415903479,3
recurrence,Full,533,48,tabpfn,raw,0.7887788778877889,0.7095479821394767,0.12434290012895968,0.06209776928620552,0.40789383041304755,3.364303917158395,0
recurrence,Full,533,48,xgboost,raw,0.7500750075007501,0.6690935469210616,0.13535118161426582,0.0918918892240791,0.4446923604507668,0.4112653750926256,2
recurrence,Full,533,49,lightgbm,raw,0.7224722472247225,0.6276225653596198,0.14211413680818666,0.08406714301702976,0.47221703446988716,0.4541509998962283,3
recurrence,Full,533,49,logistic,raw,0.7950795079507951,0.6755657025793171,0.1321425643197122,0.06185878790839325,0.42736270035151197,0.04756120825186372,2
recurrence,Full,533,49,rf,raw,0.7755775577557756,0.6944093324301122,0.14813872414475462,0.09826103799324538,0.4676818225915108,2.4893588330596685,3
recurrence,Full,533,49,rf_smote,raw,0.8048304830483048,0.6766115886209438,0.1441172470978441,0.14442786069651742,0.4663095062216826,3.5492013338953257,0
recurrence,Full,533,49,tabpfn,raw,0.7893789378937894,0.7109535229154407,0.12391998440529188,0.06230861638019334,0.4071108974093191,3.5060501247644424,0
recurrence,Full,533,49,xgboost,raw,0.7500750075007501,0.6690935469210616,0.13535118161426582,0.0918918892240791,0.4446923604507668,0.4097788748331368,2
recurrence,Full,533,50,lightgbm,raw,0.7362736273627364,0.6384783838514461,0.1402067293350135,0.07961435885187697,0.4581091818384809,0.45967204216867685,2
recurrence,Full,533,50,logistic,raw,0.7950795079507951,0.6755657025793171,0.13214256431972474,0.06185878790840128,0.42736270035154406,0.04796591680496931,2
recurrence,Full,533,50,rf,raw,0.7656765676567656,0.7172313707831468,0.1447004491371677,0.10384420852981799,0.4633859671582841,2.6418392499908805,3
recurrence,Full,533,50,rf_smote,raw,0.7866786678667868,0.6758022555756134,0.14845212211862685,0.13922464091067793,0.47506568081161704,3.7624840829521418,1
recurrence,Full,533,50,tabpfn,raw,0.7932793279327932,0.7164503413079193,0.12275594775330802,0.06892479344535231,0.40384044546627484,5.307110915891826,0
recurrence,Full,533,50,xgboost,raw,0.7575757575757576,0.6827965856087909,0.13115930734262832,0.08797657164508726,0.432600340792789,0.4248059159144759,0
recurrence,Full,533,51,lightgbm,raw,0.7485748574857486,0.6715844085745946,0.13198260189323544,0.08654509332967135,0.44043684858601473,0.43533558398485184,0
recurrence,Full,533,51,logistic,raw,0.7746774677467747,0.6445657589610048,0.14871298512756279,0.09456978406415353,0.5025582966323321,0.052355125080794096,3
recurrence,Full,533,51,rf,raw,0.76987698769877,0.7035424755911013,0.1420967401740611,0.1143929126384618,0.45934028560107076,2.5809123339131474,1
recurrence,Full,533,51,rf_smote,raw,0.7911791179117913,0.6842197166944899,0.14546016847975404,0.1294331763770014,0.46722768859034314,3.542748167179525,1
recurrence,Full,533,51,tabpfn,raw,0.7863786378637865,0.7108864297014398,0.12346784093609665,0.07365206045223706,0.40638915359646455,3.4628887912258506,0
recurrence,Full,533,51,xgboost,raw,0.7575757575757576,0.6827965856087909,0.13115930734262832,0.08797657164508726,0.432600340792789,0.42145833279937506,0
survival_status,100,100,42,lightgbm,raw,0.5360714285714286,0.21787456071009215,0.18644442581462387,0.1697093604689816,0.7128884774387829,0.14423562493175268,1
